term,ipa,method,confidence,needs_review,notes
adware,/<adware>/,missing,low,yes,не нашли в CMUdict: adware
Asymmetric Digital Subscriber Line,/<Asymmetric> ˈdɪdʒətəl səbskˈraɪbər ˈlaɪn/,multi,low,yes,не нашли в CMUdict: Asymmetric
attenuation of a signal,/<attenuation> ˈʌv ə ˈsɪɡnəl/,multi,low,yes,не нашли в CMUdict: attenuation
background templates,/ˈbækɡˌraʊnd <templates>/,multi,low,yes,не нашли в CMUdict: templates
backpropagation,/<backpropagation>/,missing,low,yes,не нашли в CMUdict: backpropagation
biometric authentication,/<biometric> ɔˌθɛntəˈkeɪʃən/,multi,low,yes,не нашли в CMUdict: biometric
biometric security devices,/<biometric> sɪkˈjʊrətiː dɪˈvaɪsəz/,multi,low,yes,не нашли в CMUdict: biometric
biometrics,/<biometrics>/,missing,low,yes,не нашли в CMUdict: biometrics
Blu-ray disc,/<Blu> ˈreɪ ˈdɪsk/,multi,low,yes,не нашли в CMUdict: Blu
built-in webcam,/ˈbɪlt ɪn <webcam>/,multi,low,yes,не нашли в CMUdict: webcam
cache coherency,/ˈkæʃ <coherency>/,multi,low,yes,не нашли в CMUdict: coherency
Compact Disc Rewritable,/ˈkɑmpækt ˈdɪsk <Rewritable>/,multi,low,yes,не нашли в CMUdict: Rewritable
Convolutional Neural Network,/<Convolutional> ˈnʊrəl ˈnɛtˌwɜrk/,multi,low,yes,не нашли в CMUdict: Convolutional
crawler,/<crawler>/,missing,low,yes,не нашли в CMUdict: crawler
crawler-based search engine,/<crawler> ˈbeɪst ˈsɜrtʃ ˈɛndʒən/,multi,low,yes,не нашли в CMUdict: crawler
cryptanalysis,/<cryptanalysis>/,missing,low,yes,не нашли в CMUdict: cryptanalysis
cybercrime,/<cybercrime>/,missing,low,yes,не нашли в CMUdict: cybercrime
cybersecurity,/<cybersecurity>/,missing,low,yes,не нашли в CMUdict: cybersecurity
datagram packet switching,/<datagram> ˈpækət ˈswɪtʃɪŋ/,multi,low,yes,не нашли в CMUdict: datagram
DDoS attack,/<DDoS> əˈtæk/,multi,low,yes,не нашли в CMUdict: DDoS
DDoS attack (Distributed Denial of Service),/<DDoS> əˈtæk/,multi,low,yes,отсечена скобочная расшифровка; не нашли в CMUdict: DDoS
defacement,/<defacement>/,missing,low,yes,не нашли в CMUdict: defacement
DevOps engineer,/<DevOps> ˈɛndʒəˈnɪr/,multi,low,yes,не нашли в CMUdict: DevOps
Double Data Rate 4,/ˈdʌbəl ˈdeɪtə ˈreɪt <4>/,multi,low,yes,не нашли в CMUdict: 4
encapsulation,/<encapsulation>/,missing,low,yes,не нашли в CMUdict: encapsulation
executable file,/<executable> ˈfaɪl/,multi,low,yes,не нашли в CMUdict: executable
firmware,/<firmware>/,missing,low,yes,не нашли в CMUdict: firmware
formatting,/<formatting>/,missing,low,yes,не нашли в CMUdict: formatting
frontend developer,/<frontend> dɪˈvɛləpər/,multi,low,yes,не нашли в CMUdict: frontend
frontend development,/<frontend> dɪˈvɛləpmənt/,multi,low,yes,не нашли в CMUdict: frontend
geostationary satellite,/<geostationary> ˈsætəˌlaɪt/,multi,low,yes,не нашли в CMUdict: geostationary
Gigahertz,/<Gigahertz>/,missing,low,yes,не нашли в CMUdict: Gigahertz
"handheld, palmtop, portable devices","/<handheld,> <palmtop,> ˈpɔrtəbəl dɪˈvaɪsəz/",multi,low,yes,"не нашли в CMUdict: handheld,, palmtop,"
Human-Like Artificial Intelligence; Human-Level Artificial Intelligence,/ˈhjuːmən ˈlaɪk ˌɑrtəˈfɪʃəl <Intelligence;> ˈhjuːmən ˈlɛvəl ˌɑrtəˈfɪʃəl ɪnˈtɛlədʒəns/,multi,low,yes,не нашли в CMUdict: Intelligence;
Hypertext Preprocessor,/ˈhaɪpərˌtɛkst <Preprocessor>/,multi,low,yes,не нашли в CMUdict: Preprocessor
IoT,/<IoT>/,missing,low,yes,не нашли в CMUdict: IoT
Java applets,/ˈdʒɑvə <applets>/,multi,low,yes,не нашли в CMUdict: applets
keylogger,/<keylogger>/,missing,low,yes,не нашли в CMUdict: keylogger
lowercase,/<lowercase>/,missing,low,yes,не нашли в CMUdict: lowercase
malware,/<malware>/,missing,low,yes,не нашли в CMUdict: malware
metasearch engine,/<metasearch> ˈɛndʒən/,multi,low,yes,не нашли в CMUdict: metasearch
misdirection routine,/<misdirection> ruːˈtiːn/,multi,low,yes,не нашли в CMUdict: misdirection
phishing,/<phishing>/,missing,low,yes,не нашли в CMUdict: phishing
plaintext,/<plaintext>/,missing,low,yes,не нашли в CMUdict: plaintext
ransomware,/<ransomware>/,missing,low,yes,не нашли в CMUdict: ransomware
spyware,/<spyware>/,missing,low,yes,не нашли в CMUdict: spyware
Symmetric Digital Subscriber Line,/<Symmetric> ˈdɪdʒətəl səbskˈraɪbər ˈlaɪn/,multi,low,yes,не нашли в CMUdict: Symmetric
Synchronous Dynamic Random Access Memory,/<Synchronous> daɪˈnæmɪk ˈrændəm ˈækˌsɛs ˈmɛməriː/,multi,low,yes,не нашли в CMUdict: Synchronous
Terabyte,/<Terabyte>/,missing,low,yes,не нашли в CMUdict: Terabyte
timesharing operating systems,/<timesharing> ˈɑpərˌeɪtɪŋ ˈsɪstəmz/,multi,low,yes,не нашли в CMUdict: timesharing
to update antivirus software,/ˈtuː əpˈdeɪt <antivirus> ˈsɔftˌwɛr/,multi,low,yes,не нашли в CMUdict: antivirus
touchpad,/<touchpad>/,missing,low,yes,не нашли в CMUdict: touchpad
transceiver,/<transceiver>/,missing,low,yes,не нашли в CMUdict: transceiver
Unique Identifiers,/juːˈniːk <Identifiers>/,multi,low,yes,не нашли в CMUdict: Identifiers
User Datagram Protocol,/ˈjuːzər <Datagram> ˈproʊtəˌkɑl/,multi,low,yes,не нашли в CMUdict: Datagram
Website defacement,/ˈwɛbˌsaɪt <defacement>/,multi,low,yes,не нашли в CMUdict: defacement
Worldwide Interoperability for Microwave Access,/ˈwɜrldˈwaɪd <Interoperability> ˈfɔr ˈmaɪkrəˌweɪv ˈækˌsɛs/,multi,low,yes,не нашли в CMUdict: Interoperability
ADSL,/ˌeɪ diː ɛs ˈɛl/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
AI,/ˌeɪ ˈaɪ/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
ALU,/ˌeɪ ɛl ˈjuː/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
AR,/ˌeɪ ˈɑr/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
BIOS (Basic Input/Output System),/ˈbaɪ.ɒs/,word-acronym,medium,yes,отсечена скобочная расшифровка; словесный акроним; вариант из таблицы — проверить локальный узус
CAPTCHA,/ˈkæp.tʃə/,word-acronym,medium,yes,словесный акроним; вариант из таблицы — проверить локальный узус
CPU (Central Processing Unit),/ˌsiː piː ˈjuː/,abbrev,medium,yes,"отсечена скобочная расшифровка; проверить: может произноситься как слово, а не побуквенно"
